State,2018_Number_of_farms,2019_Number_of_farms,"2018_Land_in_farms(in1,000acres)","2019_Land_in_farms(in1,000acres)", 2018_Average_farm_size(acres), 2019_Average_farm_size(acres)
Alabama,39700,38800,8500,8300,214,214
Alaska,1000,1050,850,850,850,810
Arizona,19200,19000,26200,26200,1365,1379
Arkansas,42500,42300,13900,14000,327,331
California,69400,69900,24300,24300,350,348
Colorado,38900,38700,31800,31800,817,822
Connecticut,5500,5500,380,380,69,69
Delaware,2300,2300,530,530,230,230
Florida,47500,47400,9700,9700,204,205
Georgia,41600,41500,10100,10200,243,246
Hawaii,7300,7300,1100,1100,151,151
Idaho,24800,24600,11600,11500,468,467
Illinois,72000,71400,27000,27000,375,378
Indiana,56100,56000,15000,14900,267,266
Iowa,86000,85300,30600,30600,356,359
Kansas,58900,58500,45800,45700,778,781
Kentucky,75100,74800,12900,12900,172,172
Louisiana,27400,27400,8000,8000,292,292
Maine,7600,7600,1300,1300,171,171
Maryland,12400,12400,2000,2000,161,161
Massachusetts,7200,7200,500,500,69,69
Michigan,47000,47000,9800,9800,209,209
Minnesot,68500,68000,25500,25500,372,375
Mississippi,34700,34500,10400,10400,300,301
Missouri,95000,95200,27700,27600,292,290
Montana,26900,26800,58000,58000,2156,2164
Nebraska,45900,45700,45000,44900,980,982
Nevada,3400,3350,6100,6100,1794,1821
New Hampshire,4100,4100,430,430,105,105
New Jersey,9900,9900,750,750,76,76
New Mexico,24700,24800,40500,40000,1649,1613
New York,33400,33400,6900,6900,207,207
North Carolina,46400,46200,8400,8400,181,182
North Dakota,26100,26100,39300,39300,1233,1233
Ohio,77800,77800,13900,13600,179,175
Oklahoma,77300,77300,34200,34400,442,445
Oregon,37200,37200,16000,15800,430,425
Pennsylvania,53000,52700,7300,7300,138,139
Rhode Island,1100,1100,60,60,55,55
South Carolina,24600,24600,4800,4800,195,195
South Dakota,29600,29600,43200,43200,459,459
Tennessee,70000,69700,10900,10800,158,155
Texas,247000,247000,127000,126500,514,512
Utah,18100,17800,10700,10700,491,601
Vermont,6800,6800,1200,1200,176,176
Virginia,42500,42400,7800,7800,184,184
Washington,35700,35600,14700,14600,412,410
West Virginia,23400,22900,3600,3500,154,153
Wisconsin,64800,64900,14300,14300,223,220
Wyoming,11900,12000,29000,29000,437,417
