Company,Experience,Age,Salary
Intel,4,47,125
Intel,4,51,144
Intel,0,24,115
Intel,3,47,137
Intel,2,32,128
Intel,3,33,121
Intel,3,55,125
Intel,4,53,118
Intel,3,47,116
Intel,3,37,112
Intel,1,27,200
Intel,1,27,112
Intel,5,40,122
Intel,4,39,136
Intel,2,30,126
Intel,1,25,115
Intel,5,41,112
Intel,3,28,132
Intel,4,44,114
Intel,4,44,120
Intel,1,36,130
Intel,2,38,119
Intel,0,23,103
Intel,5,53,127
Intel,5,43,104
Microsoft,4,31,159
Microsoft,4,36,188
Microsoft,4,32,125
Microsoft,2,31,164
Microsoft,4,34,97
Microsoft,2,29,221
Microsoft,2,44,244
Microsoft,5,48,268
Microsoft,2,58,149
Microsoft,3,37,203
Microsoft,3,43,191
Microsoft,0,26,187
Microsoft,2,48,120
Microsoft,0,22,172
Microsoft,1,36,138
Microsoft,2,39,123
Microsoft,4,29,283
Microsoft,2,47,155
Microsoft,3,39,203
Microsoft,3,50,121
Microsoft,1,35,107
Microsoft,3,29,150
Microsoft,3,36,172
Microsoft,3,58,154
Microsoft,4,55,156
Adobe,3,31,142
Adobe,2,25,106
Adobe,2,32,104
Adobe,3,52,108
Adobe,1,54,82
Adobe,1,39,122
Adobe,2,43,88
Adobe,0,25,82
Adobe,2,37,101
Adobe,3,32,102
Adobe,2,48,112
Adobe,0,22,87
Adobe,0,22,99
Adobe,1,34,116
Adobe,3,23,90
Adobe,1,26,96
Adobe,2,58,116
Adobe,0,22,100
Adobe,3,42,111
Adobe,1,38,76
Adobe,2,43,126
Adobe,2,50,117
Adobe,2,46,146
Adobe,1,52,100
Adobe,3,56,110
